Date,Value,quarter,month,weekofyear,year
2001-05-28,44.05,2,5,22,2001
2001-05-29,43.9,2,5,22,2001
2001-05-30,44.44,2,5,22,2001
2001-05-31,44.38,2,5,22,2001
2001-06-01,44.48,2,6,22,2001
2001-06-02,44.48,2,6,22,2001
2001-06-03,44.48,2,6,22,2001
2001-06-04,45.41,2,6,23,2001
2001-06-05,45.77,2,6,23,2001
2001-06-06,44.7,2,6,23,2001
2001-06-07,44.59,2,6,23,2001
2001-06-08,44.7,2,6,23,2001
2001-06-09,44.7,2,6,23,2001
2001-06-10,44.7,2,6,23,2001
2001-06-11,44.85,2,6,24,2001
2001-06-12,45.06,2,6,24,2001
2001-06-13,44.99,2,6,24,2001
2001-06-14,44.42,2,6,24,2001
2001-06-15,44.45,2,6,24,2001
2001-06-16,44.45,2,6,24,2001
2001-06-17,44.45,2,6,24,2001
2001-06-18,44.25,2,6,25,2001
2001-06-19,44.19,2,6,25,2001
2001-06-20,43.87,2,6,25,2001
2001-06-21,44.2,2,6,25,2001
2001-06-22,44.45,2,6,25,2001
2001-06-23,44.45,2,6,25,2001
2001-06-24,44.45,2,6,25,2001
2001-06-25,44.26,2,6,26,2001
2001-06-26,44.28,2,6,26,2001
2001-06-27,43.61,2,6,26,2001
2001-06-28,43.41,2,6,26,2001
2001-06-29,43.67,2,6,26,2001
2001-06-30,43.67,2,6,26,2001
2001-07-01,43.67,3,7,26,2001
2001-07-02,43.85,3,7,27,2001
2001-07-03,43.67,3,7,27,2001
2001-07-04,43.67,3,7,27,2001
2001-07-05,43.5,3,7,27,2001
2001-07-06,43.4,3,7,27,2001
2001-07-07,43.4,3,7,27,2001
2001-07-08,43.4,3,7,27,2001
2001-07-09,43.36,3,7,28,2001
2001-07-10,42.88,3,7,28,2001
2001-07-11,42.48,3,7,28,2001
2001-07-12,42.73,3,7,28,2001
2001-07-13,42.99,3,7,28,2001
2001-07-14,42.99,3,7,28,2001
2001-07-15,42.99,3,7,28,2001
2001-07-16,42.99,3,7,29,2001
2001-07-17,42.65,3,7,29,2001
2001-07-18,42.12,3,7,29,2001
2001-07-19,43.08,3,7,29,2001
2001-07-20,43.36,3,7,29,2001
2001-07-21,43.36,3,7,29,2001
2001-07-22,43.36,3,7,29,2001
2001-07-23,42.5,3,7,30,2001
2001-07-24,40.97,3,7,30,2001
2001-07-25,42.13,3,7,30,2001
2001-07-26,42.72,3,7,30,2001
2001-07-27,42.73,3,7,30,2001
2001-07-28,42.73,3,7,30,2001
2001-07-29,42.73,3,7,30,2001
2001-07-30,42.41,3,7,31,2001
2001-07-31,41.76,3,7,31,2001
2001-08-01,41.6,3,8,31,2001
2001-08-02,41.73,3,8,31,2001
2001-08-03,41.26,3,8,31,2001
2001-08-04,41.26,3,8,31,2001
2001-08-05,41.26,3,8,31,2001
2001-08-06,40.85,3,8,32,2001
2001-08-07,41.38,3,8,32,2001
2001-08-08,41.25,3,8,32,2001
2001-08-09,40.95,3,8,32,2001
2001-08-10,41.35,3,8,32,2001
2001-08-11,41.35,3,8,32,2001
2001-08-12,41.35,3,8,32,2001
2001-08-13,41.4,3,8,33,2001
2001-08-14,41.15,3,8,33,2001
2001-08-15,41.5,3,8,33,2001
2001-08-16,41.29,3,8,33,2001
2001-08-17,40.47,3,8,33,2001
2001-08-18,40.47,3,8,33,2001
2001-08-19,40.47,3,8,33,2001
2001-08-20,40.75,3,8,34,2001
2001-08-21,40.39,3,8,34,2001
2001-08-22,40.71,3,8,34,2001
2001-08-23,40.89,3,8,34,2001
2001-08-24,41.7,3,8,34,2001
2001-08-25,41.7,3,8,34,2001
2001-08-26,41.7,3,8,34,2001
2001-08-27,41.05,3,8,35,2001
2001-08-28,40.51,3,8,35,2001
2001-08-29,40.38,3,8,35,2001
2001-08-30,40.15,3,8,35,2001
2001-08-31,40.15,3,8,35,2001
2001-09-01,40.15,3,9,35,2001
2001-09-02,40.15,3,9,35,2001
2001-09-03,40.15,3,9,36,2001
2001-09-04,40.75,3,9,36,2001
2001-09-05,41.22,3,9,36,2001
2001-09-06,40.9,3,9,36,2001
2001-09-07,40.9,3,9,36,2001
2001-09-08,40.9,3,9,36,2001
2001-09-09,40.9,3,9,36,2001
2001-09-10,41.24,3,9,37,2001
2001-09-11,41.24,3,9,37,2001
2001-09-12,41.24,3,9,37,2001
2001-09-13,41.24,3,9,37,2001
2001-09-14,41.24,3,9,37,2001
2001-09-15,41.24,3,9,37,2001
2001-09-16,41.24,3,9,37,2001
2001-09-17,40.15,3,9,38,2001
2001-09-18,39.48,3,9,38,2001
2001-09-19,38.41,3,9,38,2001
2001-09-20,37.02,3,9,38,2001
2001-09-21,35.83,3,9,38,2001
2001-09-22,35.83,3,9,38,2001
2001-09-23,35.83,3,9,38,2001
2001-09-24,35.86,3,9,39,2001
2001-09-25,36.28,3,9,39,2001
2001-09-26,36.01,3,9,39,2001
2001-09-27,38.42,3,9,39,2001
2001-09-28,39.4,3,9,39,2001
2001-09-29,39.4,3,9,39,2001
2001-09-30,39.4,3,9,39,2001
2001-10-01,39.09,4,10,40,2001
2001-10-02,39.99,4,10,40,2001
2001-10-03,39.84,4,10,40,2001
2001-10-04,40.58,4,10,40,2001
2001-10-05,40.69,4,10,40,2001
2001-10-06,40.69,4,10,40,2001
2001-10-07,40.69,4,10,40,2001
2001-10-08,40.94,4,10,41,2001
2001-10-09,41.06,4,10,41,2001
2001-10-10,42.28,4,10,41,2001
2001-10-11,42.09,4,10,41,2001
2001-10-12,42.29,4,10,41,2001
2001-10-13,42.29,4,10,41,2001
2001-10-14,42.29,4,10,41,2001
2001-10-15,41.65,4,10,42,2001
2001-10-16,41.75,4,10,42,2001
2001-10-17,41.44,4,10,42,2001
2001-10-18,40.4,4,10,42,2001
2001-10-19,40.54,4,10,42,2001
2001-10-20,40.54,4,10,42,2001
2001-10-21,40.54,4,10,42,2001
2001-10-22,41.12,4,10,43,2001
2001-10-23,40.87,4,10,43,2001
2001-10-24,39.86,4,10,43,2001
2001-10-25,40.56,4,10,43,2001
2001-10-26,41.06,4,10,43,2001
2001-10-27,41.06,4,10,43,2001
2001-10-28,41.06,4,10,43,2001
2001-10-29,40.68,4,10,44,2001
2001-10-30,39.46,4,10,44,2001
2001-10-31,39.45,4,10,44,2001
2001-11-01,40.49,4,11,44,2001
2001-11-02,39.76,4,11,44,2001
2001-11-03,39.76,4,11,44,2001
2001-11-04,39.76,4,11,44,2001
2001-11-05,39.39,4,11,45,2001
2001-11-06,39.47,4,11,45,2001
2001-11-07,39.08,4,11,45,2001
2001-11-08,39.5,4,11,45,2001
2001-11-09,40.25,4,11,45,2001
2001-11-10,40.25,4,11,45,2001
2001-11-11,40.25,4,11,45,2001
